Income,Gender,Age,EdLevel,Race,Party
8000,1,64,5,White,Democrat
68000,1,56,3,Black,Democrat
46000,0,63,4,White,Independent
51000,0,48,3,White,Republican
100000,1,32,4,White,Democrat
54000,1,64,4,White,Democrat
83000,0,61,5,White,Independent
114000,1,64,5,White,Republican
90000,1,64,3,White,Republican
5000,1,68,4,White,Democrat
57000,1,63,5,White,Democrat
47000,1,44,3,White,Independent
39000,1,57,5,White,Democrat
5000,1,62,5,White,Democrat
84000,0,62,5,White,Republican
104000,0,46,6,White,Independent
8000,1,60,4,White,NA
23000,1,62,3,Other,Democrat
55000,1,40,5,White,Republican
80000,1,48,5,Latino,Independent
194000,1,54,5,White,Democrat
82000,0,62,5,White,Republican
22000,1,50,3,White,Democrat
54000,1,59,4,White,Democrat
79000,1,30,5,White,Independent
5000,1,60,4,Black,Democrat
60000,0,70,5,Black,Democrat
39000,0,19,3,White,Independent
58000,0,61,5,Black,Independent
54000,1,57,3,White,Democrat
73000,0,36,5,White,NA
26000,1,63,3,White,Democrat
48000,1,63,5,White,Republican
61000,1,55,3,White,Independent
67000,1,56,5,White,Republican
58000,0,54,NA,White,NA
30000,1,74,3,White,Independent
52000,1,33,5,White,NA
41000,1,78,4,White,Republican
106000,0,45,5,White,NA
21000,0,41,3,White,Democrat
107000,0,76,5,White,Independent
53000,1,65,5,White,Republican
26000,0,48,6,White,Independent
126000,0,46,4,White,Independent
179000,0,50,6,Latino,Republican
122000,1,48,5,White,Republican
113000,1,54,6,White,Independent
140000,0,21,4,Black,Independent
207000,1,48,6,White,Independent
182000,1,42,6,White,Independent
128000,1,50,4,White,Independent
71000,1,40,6,White,Independent
70000,0,52,4,White,Republican
77000,0,18,3,White,Republican
96000,1,61,5,White,Democrat
57000,1,60,5,White,Republican
101000,0,45,5,Latino,Independent
152000,0,30,5,White,Republican
35000,0,63,6,White,Republican
109000,0,51,5,White,Democrat
87000,0,56,3,White,Republican
79000,1,62,6,White,Democrat
73000,1,46,4,White,Democrat
89000,1,83,3,White,NA
250000,0,48,5,White,Democrat
93000,1,54,4,Latino,Independent
21000,1,64,5,White,Democrat
80000,1,62,5,White,Republican
133000,0,53,5,White,Independent
74000,1,85,6,White,Democrat
67000,0,55,4,White,Democrat
77000,1,18,4,White,NA
112000,1,59,6,Asian,Democrat
